15:24:37 WARNING  valueinvestor.scorer_improver.ground_truth — Adjusted A-share price coverage is 99.7%
15:24:46 INFO     valueinvestor.scorer_improver.ml_trainer — Resolved auto daily ML training end date -> 2026-01-09
15:24:50 INFO     valueinvestor.scorer_improver.ml_trainer — ML walk-forward filter: 4 folds, 6 validation months/fold
15:24:59 INFO     valueinvestor.scorer_improver.ml_trainer — ML candidate search target=6m targets=target_rank_6m models=constrained_factor_ridge features=practical_factor priors=no_ticker_priors lambdas=1,3,10,30,100,300,1000,3000,10000,30000 full_eval_limit=1
15:24:59 INFO     valueinvestor.scorer_improver.ml_trainer — ML strict walk-forward panel target=6m selected=10 configuration_space=10
15:24:59 INFO     valueinvestor.scorer_improver.ml_trainer — ML walk-forward shortlist target=6m selected=10 sample_candidates=10 floor_candidates=10 full_eval_limit=1
15:25:00 INFO     valueinvestor.scorer_improver.ml_trainer — MLX constrained factor ridge using device=Device(gpu, 0) rows=23710 features=6 steps=512 elapsed=0.07s
15:25:07 INFO     valueinvestor.scorer_improver.ml_trainer — ML walk-forward practical factor candidate template=model_profitability_de_crowding min_rhos={'1w': -0.029152, '1m': 0.040886, '3m': 0.022944, '6m': 0.084272} mean_rhos={'1w': 0.010401, '1m': 0.073401, '3m': 0.094807, '6m': 0.125253} accepted=True
15:25:09 INFO     valueinvestor.scorer_improver.ml_trainer — ML walk-forward application selection factor=None residual=quality_de_crowding weight=0.55
15:25:09 INFO     valueinvestor.scorer_improver.ml_trainer — ML walk-forward accepted target=target_rank_6m lambda=1 model=constrained_factor_ridge features=practical_factor priors=no_ticker_priors mean_deltas={'1w': 0.003736, '1m': 0.089249, '3m': 0.080687, '6m': 0.114369} median_deltas={'1w': 0.009345, '1m': 0.082982, '3m': 0.076671, '6m': 0.106917} min_deltas={'1w': -0.037846, '1m': 0.056158, '3m': 0.04506, '6m': 0.073501}
15:25:17 INFO     valueinvestor.scorer_improver.ml_trainer — ML walk-forward practical factor candidate template=model_profitability_de_crowding min_rhos={'1w': -0.029147, '1m': 0.040896, '3m': 0.022942, '6m': 0.084269} mean_rhos={'1w': 0.010398, '1m': 0.073401, '3m': 0.094811, '6m': 0.12525} accepted=True
15:25:19 INFO     valueinvestor.scorer_improver.ml_trainer — ML walk-forward application selection factor=None residual=quality_de_crowding weight=0.55
15:25:19 INFO     valueinvestor.scorer_improver.ml_trainer — ML walk-forward accepted target=target_rank_6m lambda=3 model=constrained_factor_ridge features=practical_factor priors=no_ticker_priors mean_deltas={'1w': 0.003733, '1m': 0.089249, '3m': 0.080688, '6m': 0.114368} median_deltas={'1w': 0.009342, '1m': 0.082976, '3m': 0.076678, '6m': 0.106909} min_deltas={'1w': -0.037839, '1m': 0.056173, '3m': 0.04504, '6m': 0.073518}
15:25:27 INFO     valueinvestor.scorer_improver.ml_trainer — ML walk-forward practical factor candidate template=model_profitability_de_crowding min_rhos={'1w': -0.029132, '1m': 0.040894, '3m': 0.022926, '6m': 0.08425} mean_rhos={'1w': 0.010412, '1m': 0.073411, '3m': 0.094815, '6m': 0.125248} accepted=True
15:25:29 INFO     valueinvestor.scorer_improver.ml_trainer — ML walk-forward application selection factor=None residual=quality_de_crowding weight=0.55
15:25:29 INFO     valueinvestor.scorer_improver.ml_trainer — ML walk-forward accepted target=target_rank_6m lambda=10 model=constrained_factor_ridge features=practical_factor priors=no_ticker_priors mean_deltas={'1w': 0.003729, '1m': 0.089244, '3m': 0.080682, '6m': 0.114356} median_deltas={'1w': 0.009359, '1m': 0.082984, '3m': 0.076671, '6m': 0.106919} min_deltas={'1w': -0.037868, '1m': 0.056138, '3m': 0.04504, '6m': 0.073485}
15:25:37 INFO     valueinvestor.scorer_improver.ml_trainer — ML walk-forward practical factor candidate template=model_profitability_de_crowding min_rhos={'1w': -0.029141, '1m': 0.040891, '3m': 0.02289, '6m': 0.084195} mean_rhos={'1w': 0.010399, '1m': 0.073398, '3m': 0.094798, '6m': 0.125236} accepted=True
15:25:39 INFO     valueinvestor.scorer_improver.ml_trainer — ML walk-forward application selection factor=None residual=quality_de_crowding weight=0.55
15:25:39 INFO     valueinvestor.scorer_improver.ml_trainer — ML walk-forward accepted target=target_rank_6m lambda=30 model=constrained_factor_ridge features=practical_factor priors=no_ticker_priors mean_deltas={'1w': 0.003728, '1m': 0.089204, '3m': 0.080656, '6m': 0.114352} median_deltas={'1w': 0.009354, '1m': 0.082953, '3m': 0.076657, '6m': 0.106912} min_deltas={'1w': -0.037861, '1m': 0.056083, '3m': 0.044975, '6m': 0.073513}
15:25:47 INFO     valueinvestor.scorer_improver.ml_trainer — ML walk-forward practical factor candidate template=model_profitability_de_crowding min_rhos={'1w': -0.029261, '1m': 0.040914, '3m': 0.022854, '6m': 0.084146} mean_rhos={'1w': 0.010374, '1m': 0.0734, '3m': 0.094851, '6m': 0.125271} accepted=True
15:25:49 INFO     valueinvestor.scorer_improver.ml_trainer — ML walk-forward application selection factor=None residual=quality_de_crowding weight=0.55
15:25:49 INFO     valueinvestor.scorer_improver.ml_trainer — ML walk-forward accepted target=target_rank_6m lambda=100 model=constrained_factor_ridge features=practical_factor priors=no_ticker_priors mean_deltas={'1w': 0.003727, '1m': 0.089178, '3m': 0.080721, '6m': 0.114391} median_deltas={'1w': 0.009366, '1m': 0.082864, '3m': 0.076826, '6m': 0.106898} min_deltas={'1w': -0.037883, '1m': 0.05628, '3m': 0.044885, '6m': 0.073781}
15:25:57 INFO     valueinvestor.scorer_improver.ml_trainer — ML walk-forward practical factor candidate template=model_profitability_de_crowding min_rhos={'1w': -0.029432, '1m': 0.040948, '3m': 0.022832, '6m': 0.084056} mean_rhos={'1w': 0.010352, '1m': 0.073427, '3m': 0.094972, '6m': 0.125321} accepted=True
15:25:59 INFO     valueinvestor.scorer_improver.ml_trainer — ML walk-forward application selection factor=None residual=quality_de_crowding weight=0.55
15:25:59 INFO     valueinvestor.scorer_improver.ml_trainer — ML walk-forward accepted target=target_rank_6m lambda=300 model=constrained_factor_ridge features=practical_factor priors=no_ticker_priors mean_deltas={'1w': 0.003663, '1m': 0.089032, '3m': 0.080756, '6m': 0.114323} median_deltas={'1w': 0.009425, '1m': 0.082747, '3m': 0.076945, '6m': 0.106963} min_deltas={'1w': -0.038328, '1m': 0.056033, '3m': 0.044703, '6m': 0.073594}
15:26:07 INFO     valueinvestor.scorer_improver.ml_trainer — ML walk-forward practical factor candidate template=model_profitability_de_crowding min_rhos={'1w': -0.029518, '1m': 0.040816, '3m': 0.022419, '6m': 0.083515} mean_rhos={'1w': 0.010236, '1m': 0.073282, '3m': 0.095041, '6m': 0.125328} accepted=True
15:26:09 INFO     valueinvestor.scorer_improver.ml_trainer — ML walk-forward application selection factor=None residual=quality_de_crowding weight=0.55
15:26:09 INFO     valueinvestor.scorer_improver.ml_trainer — ML walk-forward accepted target=target_rank_6m lambda=1000 model=constrained_factor_ridge features=practical_factor priors=no_ticker_priors mean_deltas={'1w': 0.003566, '1m': 0.088627, '3m': 0.080964, '6m': 0.114405} median_deltas={'1w': 0.009357, '1m': 0.082253, '3m': 0.077593, '6m': 0.107216} min_deltas={'1w': -0.038626, '1m': 0.055808, '3m': 0.043961, '6m': 0.073965}
15:26:17 INFO     valueinvestor.scorer_improver.ml_trainer — ML walk-forward practical factor candidate template=model_profitability_de_crowding min_rhos={'1w': -0.029851, '1m': 0.040534, '3m': 0.021449, '6m': 0.08217} mean_rhos={'1w': 0.010206, '1m': 0.073018, '3m': 0.095539, '6m': 0.125541} accepted=True
15:26:19 INFO     valueinvestor.scorer_improver.ml_trainer — ML walk-forward application selection factor=None residual=quality_de_crowding weight=0.55
15:26:19 INFO     valueinvestor.scorer_improver.ml_trainer — ML walk-forward accepted target=target_rank_6m lambda=3000 model=constrained_factor_ridge features=practical_factor priors=no_ticker_priors mean_deltas={'1w': 0.003367, '1m': 0.087655, '3m': 0.081519, '6m': 0.114546} median_deltas={'1w': 0.009523, '1m': 0.080788, '3m': 0.079517, '6m': 0.107905} min_deltas={'1w': -0.038999, '1m': 0.055237, '3m': 0.041981, '6m': 0.074067}
15:26:27 INFO     valueinvestor.scorer_improver.ml_trainer — ML walk-forward practical factor candidate template=model_profitability_de_crowding min_rhos={'1w': -0.030138, '1m': 0.040562, '3m': 0.019909, '6m': 0.079993} mean_rhos={'1w': 0.010027, '1m': 0.072696, '3m': 0.095977, '6m': 0.125554} accepted=True
15:26:29 INFO     valueinvestor.scorer_improver.ml_trainer — ML walk-forward application selection factor=None residual=quality_de_crowding weight=0.55
15:26:29 INFO     valueinvestor.scorer_improver.ml_trainer — ML walk-forward accepted target=target_rank_6m lambda=1e+04 model=constrained_factor_ridge features=practical_factor priors=no_ticker_priors mean_deltas={'1w': 0.00321, '1m': 0.086541, '3m': 0.081924, '6m': 0.113919} median_deltas={'1w': 0.009599, '1m': 0.079332, '3m': 0.081926, '6m': 0.107377} min_deltas={'1w': -0.039428, '1m': 0.05497, '3m': 0.038815, '6m': 0.07419}
15:26:37 INFO     valueinvestor.scorer_improver.ml_trainer — ML walk-forward practical factor candidate template=model_profitability_de_crowding min_rhos={'1w': -0.030218, '1m': 0.04062, '3m': 0.019878, '6m': 0.079772} mean_rhos={'1w': 0.010161, '1m': 0.072424, '3m': 0.096333, '6m': 0.125648} accepted=True
15:26:39 INFO     valueinvestor.scorer_improver.ml_trainer — ML walk-forward application selection factor=None residual=quality_de_crowding weight=0.55
